kegg_id,kegg_name,n_genes,meanLFC_15,NES_15,FDR_15,meanLFC_21,NES_21,FDR_21,meanLFC_27,NES_27,FDR_27
map03010,Ribosome,117,-1.2273578821725553,-3.3126617344675124,0.0,-1.186638234478693,-3.650909755369916,0.0,-0.3707968213893979,-3.3161753771639932,0.0
map03020,RNA polymerase,27,-1.0951680542034825,-2.406659009390042,0.0,-0.7538642793407385,-2.1614899604930966,0.0,-0.2457601252826791,-1.7386518866750702,0.023737817542738456
map03008,Ribosome biogenesis in eukaryotes,72,-1.0455527117504466,-2.539472554090977,0.0,-0.6721860645991927,-2.4196369108769296,0.0,-0.17922946985193916,-1.959850278034693,0.0033027440485700593
map03040,Spliceosome,94,-0.8838212937987958,-2.825545255899975,0.0,-0.7785168919963515,-3.1766832613471174,0.0,-0.1633248742050644,-2.3507794975690044,0.0
map03013,Nucleocytoplasmic transport,88,-0.7495596725697904,-2.7484104686610413,0.0,-0.5260937830750083,-2.5120212390062635,0.0,-0.12022587261727272,-1.9106901848803302,0.006710337114555041
map00240,Pyrimidine metabolism,71,-0.735647151552748,-2.3647157609547715,0.0,-0.4292955058606987,-2.252246497787423,0.0,-0.21912059635829295,-2.256300098809206,0.0
map03030,DNA replication,32,-0.6954220547081914,-1.9989601826228964,0.00048086089521438266,-0.04467243981364143,-0.7942909351080475,0.9274692578688295,-0.14123916217415686,-1.7788889446119873,0.01955030909336709
map03018,RNA degradation,52,-0.6616708744654332,-2.3592916585821646,0.0,-0.5991014202921205,-2.4771355663349386,0.0,-0.1490076320318431,-1.9638387826319512,0.0037745646269372107
map00020,Citrate cycle (TCA cycle),33,-0.5880961462815362,-2.326829555097921,0.0,-0.42489299575995654,-2.4160353440127005,0.0,-0.15186265055945192,-2.06741790699659,0.00125818820897907
map03015,mRNA surveillance pathway,48,-0.5739704253057202,-2.1614957269065176,0.0,-0.5734227927941741,-2.162581165456975,0.0,-0.09360875043404025,-1.6689839477399355,0.03635501719628998
map00230,Purine metabolism,110,-0.5553964570300888,-2.3403792229546587,0.0,-0.34295527657109587,-2.3453776196942804,0.0,-0.1908637870842331,-2.4480604676234377,0.0
map00190,Oxidative phosphorylation,84,-0.5512647314373427,-2.4726780733057825,0.0,-0.4830977469480431,-2.8088466749324503,0.0,-0.10268544224615982,-2.13871885625885,0.000503275283591628
map03060,Protein export,22,-0.21621653583684328,-1.2801857077089758,0.2748806960286217,-0.5109756364293768,-2.1097951744703693,0.00037926957142538434,-0.06258230675072403,-1.0718825730360324,0.4814211014400134
map00980,Metabolism of xenobiotics by cytochrome P450,36,0.6144281883337852,2.2080221910514335,0.0,0.8309213735499974,2.0602302013667737,0.0017947056184256444,0.08084796585099578,1.2948019441397347,0.3937670862737618
map00071,Fatty acid degradation,36,0.6283197884596617,2.128393782345899,0.0,0.5831819231539591,1.690506876528099,0.08300513485218605,0.11057077464392132,1.4456036861432289,0.5713451268357811
